position X, position Y, position Z, orientation X, orientation Y, orientation Z, distance, angle X, angle Y, angle Z
-98.5836, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3212, 7.22834, 16.2262, -1.55554
-98.5092, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3217, 7.19607, 16.1906, -1.5471
-98.2877, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.323, 7.10017, 16.0847, -1.52223
-97.9223, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3252, 6.94212, 15.91, -1.48194
-97.4159, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3283, 6.72346, 15.668, -1.42767
-96.7716, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3321, 6.44589, 15.36, -1.36122
-95.9923, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3368, 6.11119, 14.9876, -1.28476
-95.081, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3423, 5.72132, 14.5525, -1.20075
-94.0408, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3197, 5.03716, 14.3963, -1.22037
-92.8746, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.2564, 3.95612, 14.6652, -1.4023
-91.5854, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.1864, 2.76647, 14.9558, -1.62784
-90.1762, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.1099, 1.47384, 15.2648, -1.90326
-88.6501, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.027, 0.0846542, 15.5888, -2.23483
-87.01, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 92.9009, -1.29827, 15.8911, -2.59848
-85.2589, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 92.1098, -1.07252, 15.6206, -2.47349
-83.3999, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 91.27, -0.832643, 15.3334, -2.34339
-81.4359, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 90.5687, -0.047317, 14.65, -2.00357
-79.3699, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 90.1404, 1.68649, 13.2785, -1.35971
-77.2049, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.6916, 3.53415, 11.8145, -0.774304
-74.944, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.2229, 5.4895, 10.2636, -0.26563
-72.5901, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.2726, 6.07255, 8.62962, 0.0603242
-70.1462, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.4219, 6.41202, 6.94798, 0.323879
-67.6153, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.6334, 7.2361, 5.4191, 0.54821
-65.0004, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.8525, 8.10398, 3.82757, 0.726011
-62.3046, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.8627, 9.27061, 1.49976, 0.881191
-59.5308, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.1176, 11.3861, -3.22989, 0.839057
-56.682, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.0322, 13.918, -6.77319, 0.452566
-53.7612, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.5899, 16.9214, -9.23963, -0.13225
-50.7715, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 90.2197, 19.6947, -11.8154, -0.956353
-47.7157, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 91.3564, 19.7612, -14.9964, -1.6921
-44.597, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 92.3968, 17.1303, -15.5539, -1.47656
-41.4183, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.412, 13.4825, -15.0602, -1.03661
-38.1826, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.3318, 9.32815, -14.5987, -0.840731
-34.8929, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 92.3398, 4.71478, -14.184, -1.00645
-31.5522, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 91.8026, 0.390009, -14.3362, -1.64543
-28.1635, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 91.2577, -3.89842, -14.4057, -2.60923
-24.7299, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 90.3991, -4.04755, -13.9207, -2.52914
-21.2542, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.2173, -4.10043, -13.2451, -2.38368
-17.7396, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 87.7285, -4.94152, -12.4583, -2.43692
-14.189, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 86.3805, -5.07521, -11.3248, -2.23966
-10.6054, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 85.5833, -2.59363, -8.93976, -1.18603
-6.99177, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 84.8623, 0.792991, -9.47659, -0.591297
-3.35117, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 84.1458, 4.33218, -10.336, -0.250696
0.313429, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 83.9782, 8.55596, -9.77746, 0.126178
3.99902, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 83.8442, 13.4986, -9.97892, 0.0304695
7.7026, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 83.6408, 18.8859, -10.9695, -0.673407
11.4212, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 84.6621, 21.6768, -11.7134, -1.27201
15.1518, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 86.4073, 20.9772, -9.98116, -0.826929
18.8913, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 87.9933, 18.361, -5.5313, 0.149537
22.6369, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 88.4962, 12.6105, -2.78435, 0.824169
26.3855, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 88.3284, 6.39033, -0.648486, 0.790671
30.1341, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 88.0331, 1.62705, 1.78773, 0.230776
33.8796, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 87.2554, -0.492197, 2.48099, -0.162723
37.6192, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 85.9716, 0.487112, 1.44335, 0.0580908
41.3498, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 84.9044, 2.47896, 1.49355, 0.363959
45.0684, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 84.0491, 5.08602, 1.26665, 0.665569
48.772, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 84.8983, 12.967, -1.27409, 0.852818
52.4576, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 85.1788, 18.2738, 0.858022, 0.381339
56.1221, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 85.4129, 23.3843, 3.33294, -0.586894
59.7628, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 87.1692, 22.8792, 4.11317, -0.541775
63.3764, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 88.4973, 26.0098, 2.02469, -1.10402
66.96, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.7147, 29.9287, -0.638058, -2.10343
70.5106, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 90.4014, 28.8961, -3.06248, -1.87266
74.0252, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 91.834, 26.4771, -5.21233, -1.37825
77.5009, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.6353, 23.7042, -7.18641, -0.944935
80.9345, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 94.177, 21.5901, -9.10446, -0.793673
84.3232, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 94.566, 19.449, -9.90168, -0.566973
87.6639, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 95.2669, 17.0736, -9.3219, -0.161954
90.9535, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 95.8242, 14.1208, -9.183, 0.12085
94.1892, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 96.0969, 9.87164, -9.94713, 0.122353
97.368, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 96.1744, 4.23583, -9.46553, -0.11626
100.487, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 96.244, -1.22346, -8.87004, -0.875282
103.542, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 95.2203, -4.40939, -7.65452, -1.45546
106.532, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 93.5777, -6.29785, -6.12883, -1.81045
109.453, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 92.1428, -8.73165, -7.78325, -2.80098
112.302, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 90.7477, -11.0697, -9.45498, -3.93091
115.076, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 89.437, -13.1013, -10.437, -4.96109
117.771, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 88.4236, -14.0322, -8.03905, -4.97156
120.386, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 87.2344, -14.9459, -6.64823, -5.20923
122.917, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 85.6809, -15.928, -7.0992, -5.74232
125.361, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, 84.1809, -16.8709, -7.53279, -6.27832
127.715, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
129.976, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
132.141, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
134.207, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
136.171, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
138.03, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
139.781, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
141.421, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
142.947, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
144.356, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
145.646, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
146.812, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
147.852, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
148.763, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
149.543, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
150.187, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
150.693, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
151.059, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
151.28, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
151.355, 0.894184, 89.4337, 100.277, 89.6242, 10.2839, -1, -1.0, -1.0, -1.0
